CLINIC-Standards-SE1-Management & Leadership-1.7 Communication-Staff meetings are held regularly and documented.,nmBf6yF9nZl,CLINIC-Standards-SE1-Management & Leadership-1.7.1.2,22CLINIC-Standards-SE1-Management & Leadership-1.7.1.2,Staff meetings are held regularly and documented.,Staff meetings are held regularly and documented.,TRACKER,TEXT,COUNT,,,,,,optionSet
CLINIC-Standards-SE1-Management & Leadership-1.7 Communication-External communication with stakeholders is managed effectively.,Ws5sUPGtHN2,CLINIC-Standards-SE1-Management & Leadership-1.7.1.3,23CLINIC-Standards-SE1-Management & Leadership-1.7.1.3,External communication with stakeholders is managed effectively.,External communication with stakeholders is managed effectively.,TRACKER,TEXT,COUNT,,,,,,optionSet
CLINIC-Standards-SE1-Management & Leadership-1.8 Records and Information Management-The facility maintains accurate and up-to-date records.,h6fk0vGiXH1,CLINIC-Standards-SE1-Management & Leadership-1.8.1.1,24CLINIC-Standards-SE1-Management & Leadership-1.8.1.1,The facility maintains accurate and up-to-date records.,The facility maintains accurate and up-to-date records.,TRACKER,TEXT,COUNT,,,,,,optionSet
CLINIC-Standards-SE1-Management & Leadership-1.8 Records and Information Management-Records are stored securely and confidentially.,oxtcpT3WRuO,CLINIC-Standards-SE1-Management & Leadership-1.8.1.2,25CLINIC-Standards-SE1-Management & Leadership-1.8.1.2,Records are stored securely and confidentially.,Records are stored securely and confidentially.,TRACKER,TEXT,COUNT,,,,,,optionSet
CLINIC-Standards-SE1-Management & Leadership-1.8 Records and Information Management-Information is used for decision-making and planning.,GhtM2gGo1zc,CLINIC-Standards-SE1-Management & Leadership-1.8.1.3,26CLINIC-Standards-SE1-Management & Leadership-1.8.1.3,Information is used for decision-making and planning.,Information is used for decision-making and planning.,TRACKER,TEXT,COUNT,,,,,,optionSet
CLINIC-Standards-SE1-Management & Leadership-1.9 Legal and Regulatory Compliance-The facility complies with relevant laws and regulations.,L8pOGlZHRZK,CLINIC-Standards-SE1-Management & Leadership-1.9.1.1,27CLINIC-Standards-SE1-Management & Leadership-1.9.1.1,The facility complies with relevant laws and regulations.,The facility complies with relevant laws and regulations.,TRACKER,TEXT,COUNT,,,,,,optionSet
CLINIC-Standards-SE1-Management & Leadership-1.9 Legal and Regulatory Compliance-Licenses and certifications are current and displayed.,lCRlT8WZw2a,CLINIC-Standards-SE1-Management & Leadership-1.9.1.2,28CLINIC-Standards-SE1-Management & Leadership-1.9.1.2,Licenses and certifications are current and displayed.,Licenses and certifications are current and displayed.,TRACKER,TEXT,COUNT,,,,,,optionSet
CLINIC-Standards-SE1-Management & Leadership-1.9 Legal and Regulatory Compliance-Staff are aware of legal responsibilities and obligations.,A0CZBsPBcbe,CLINIC-Standards-SE1-Management & Leadership-1.9.1.3,29CLINIC-Standards-SE1-Management & Leadership-1.9.1.3,Staff are aware of legal responsibilities and obligations.,Staff are aware of legal responsibilities and obligations.,TRACKER,TEXT,COUNT,,,,,,optionSet
CLINIC-Standards-SE1-Management & Leadership-1.10 Ethics and Professionalism-The facility promotes ethical practices and professionalism.,ukMZtpnIEHj,CLINIC-Standards-SE1-Management & Leadership-1.10.1.1,30CLINIC-Standards-SE1-Management & Leadership-1.10.1.1,The facility promotes ethical practices and professionalism.,The facility promotes ethical practices and professionalism.,TRACKER,TEXT,COUNT,,,,,,optionSet
CLINIC-Standards-SE1-Management & Leadership-1.10 Ethics and Professionalism-Staff adhere to codes of conduct and ethics.,BaztJmETNBa,CLINIC-Standards-SE1-Management & Leadership-1.10.1.2,31CLINIC-Standards-SE1-Management & Leadership-1.10.1.2,Staff adhere to codes of conduct and ethics.,Staff adhere to codes of conduct and ethics.,TRACKER,TEXT,COUNT,,,,,,optionSet
CLINIC-Standards-SE1-Management & Leadership-1.10 Ethics and Professionalism-Ethical dilemmas are addressed through established procedures.,Fqz8CLqAwnB,CLINIC-Standards-SE1-Management & Leadership-1.10.1.3,32CLINIC-Standards-SE1-Management & Leadership-1.10.1.3,Ethical dilemmas are addressed through established procedures.,Ethical dilemmas are addressed through established procedures.,TRACKER,TEXT,COUNT,,,,,,optionSet
Human Resource Management--,UID,code,shortName,Description,Form Name,domainType,Value type,Aggregation type,CatCombo,,,,Option set,optionSet
CLINIC-Standards-SE2-Human Resource Management-2.1 Personnel Planning-There are documented processes for staffing the health facility.,,CLINIC-Standards-SE2-Human Resource Management-2.1.1.1,1CLINIC-Standards-SE2-Human Resource Management-2.1.1.1,There are documented processes for staffing the health facility.,There are documented processes for staffing the health facility.,TRACKER,TEXT,COUNT,,,,,,optionSet
"CLINIC-Standards-SE2-Human Resource Management-2.1 Personnel Planning-The desired education, qualifications, skills and knowledge are defined for all personnel.",,CLINIC-Standards-SE2-Human Resource Management-2.1.1.2,2CLINIC-Standards-SE2-Human Resource Management-2.1.1.2,"The desired education, qualifications, skills and knowledge are defined for all personnel.","The desired education, qualifications, skills and knowledge are defined for all personnel.",TRACKER,TEXT,COUNT,,,,,,optionSet
"CLINIC-Standards-SE2-Human Resource Management-2.1 Personnel Planning-Absenteeism, sickness rates and turnover rates are recorded and analysed.",,CLINIC-Standards-SE2-Human Resource Management-2.1.1.3,3CLINIC-Standards-SE2-Human Resource Management-2.1.1.3,"Absenteeism, sickness rates and turnover rates are recorded and analysed.","Absenteeism, sickness rates and turnover rates are recorded and analysed.",TRACKER,TEXT,COUNT,,,,,,optionSet
CLINIC-Standards-SE2-Human Resource Management-2.1 Personnel Planning-Personnel establishment data is recorded and analysed for decision-making.,,CLINIC-Standards-SE2-Human Resource Management-2.1.1.4,4CLINIC-Standards-SE2-Human Resource Management-2.1.1.4,Personnel establishment data is recorded and analysed for decision-making.,Personnel establishment data is recorded and analysed for decision-making.,TRACKER,TEXT,COUNT,,,,,,optionSet
CLINIC-Standards-SE2-Human Resource Management-2.2 Personnel Management-A designated staff member is responsible for storing and retrieving personnel records.,,CLINIC-Standards-SE2-Human Resource Management-2.2.1.1,5CLINIC-Standards-SE2-Human Resource Management-2.2.1.1,A designated staff member is responsible for storing and retrieving personnel records.,A designated staff member is responsible for storing and retrieving personnel records.,TRACKER,TEXT,COUNT,,,,,,optionSet
CLINIC-Standards-SE2-Human Resource Management-2.2 Personnel Management-Documented personnel information exists for each staff member.,,CLINIC-Standards-SE2-Human Resource Management-2.2.1.2,6CLINIC-Standards-SE2-Human Resource Management-2.2.1.2,Documented personnel information exists for each staff member.,Documented personnel information exists for each staff member.,TRACKER,TEXT,COUNT,,,,,,optionSet
CLINIC-Standards-SE2-Human Resource Management-2.2 Personnel Management-Personnel files are kept current and reviewed annually.,,CLINIC-Standards-SE2-Human Resource Management-2.2.1.3,7CLINIC-Standards-SE2-Human Resource Management-2.2.1.3,Personnel files are kept current and reviewed annually.,Personnel files are kept current and reviewed annually.,TRACKER,TEXT,COUNT,,,,,,optionSet
CLINIC-Standards-SE2-Human Resource Management-2.2 Personnel Management-Personnel files contain evidence of orientation to the facility.,,CLINIC-Standards-SE2-Human Resource Management-2.2.1.4,8CLINIC-Standards-SE2-Human Resource Management-2.2.1.4,Personnel files contain evidence of orientation to the facility.,Personnel files contain evidence of orientation to the facility.,TRACKER,TEXT,COUNT,,,,,,optionSet
CLINIC-Standards-SE2-Human Resource Management-2.2 Personnel Management-Personnel files contain records of in-service training and development.,,CLINIC-Standards-SE2-Human Resource Management-2.2.1.5,9CLINIC-Standards-SE2-Human Resource Management-2.2.1.5,Personnel files contain records of in-service training and development.,Personnel files contain records of in-service training and development.,TRACKER,TEXT,COUNT,,,,,,optionSet
CLINIC-Standards-SE2-Human Resource Management-2.2 Personnel Management-Personnel files contain copies of performance appraisals.,,CLINIC-Standards-SE2-Human Resource Management-2.2.1.6,10CLINIC-Standards-SE2-Human Resource Management-2.2.1.6,Personnel files contain copies of performance appraisals.,Personnel files contain copies of performance appraisals.,TRACKER,TEXT,COUNT,,,,,,optionSet
CLINIC-Standards-SE2-Human Resource Management-2.2 Personnel Management-Personnel files contain educational certificates and/or licences.,,CLINIC-Standards-SE2-Human Resource Management-2.2.1.7,11CLINIC-Standards-SE2-Human Resource Management-2.2.1.7,Personnel files contain educational certificates and/or licences.,Personnel files contain educational certificates and/or licences.,TRACKER,TEXT,COUNT,,,,,,optionSet
CLINIC-Standards-SE2-Human Resource Management-2.2 Personnel Management-Personnel files contain current job descriptions and performance agreements.,,CLINIC-Standards-SE2-Human Resource Management-2.2.1.8,12CLINIC-Standards-SE2-Human Resource Management-2.2.1.8,Personnel files contain current job descriptions and performance agreements.,Personnel files contain current job descriptions and performance agreements.,TRACKER,TEXT,COUNT,,,,,,optionSet
CLINIC-Standards-SE2-Human Resource Management-2.2 Personnel Management-Only authorised persons have access to personnel records.,,CLINIC-Standards-SE2-Human Resource Management-2.2.1.9,13CLINIC-Standards-SE2-Human Resource Management-2.2.1.9,Only authorised persons have access to personnel records.,Only authorised persons have access to personnel records.,TRACKER,TEXT,COUNT,,,,,,optionSet
CLINIC-Standards-SE2-Human Resource Management-2.2 Job Descriptions-Each employee has a written job description and performance agreement.,,CLINIC-Standards-SE2-Human Resource Management-2.2.2.1,14CLINIC-Standards-SE2-Human Resource Management-2.2.2.1,Each employee has a written job description and performance agreement.,Each employee has a written job description and performance agreement.,TRACKER,TEXT,COUNT,,,,,,optionSet
CLINIC-Standards-SE2-Human Resource Management-2.2 Job Descriptions-Staff members sign their job descriptions and performance agreements.,,CLINIC-Standards-SE2-Human Resource Management-2.2.2.2,15CLINIC-Standards-SE2-Human Resource Management-2.2.2.2,Staff members sign their job descriptions and performance agreements.,Staff members sign their job descriptions and performance agreements.,TRACKER,TEXT,COUNT,,,,,,optionSet
CLINIC-Standards-SE2-Human Resource Management-2.2 Job Descriptions-Job descriptions and agreements are reviewed according to policy.,,CLINIC-Standards-SE2-Human Resource Management-2.2.2.3,16CLINIC-Standards-SE2-Human Resource Management-2.2.2.3,Job descriptions and agreements are reviewed according to policy.,Job descriptions and agreements are reviewed according to policy.,TRACKER,TEXT,COUNT,,,,,,optionSet
CLINIC-Standards-SE2-Human Resource Management-2.2 Staff Evaluation-Staff credentials are used to authorise clinical services.,,CLINIC-Standards-SE2-Human Resource Management-2.2.3.1,17CLINIC-Standards-SE2-Human Resource Management-2.2.3.1,Staff credentials are used to authorise clinical services.,Staff credentials are used to authorise clinical services.,TRACKER,TEXT,COUNT,,,,,,optionSet
CLINIC-Standards-SE2-Human Resource Management-2.2 Staff Evaluation-Each staff member has at least one documented appraisal per year.,,CLINIC-Standards-SE2-Human Resource Management-2.2.3.2,18CLINIC-Standards-SE2-Human Resource Management-2.2.3.2,Each staff member has at least one documented appraisal per year.,Each staff member has at least one documented appraisal per year.,TRACKER,TEXT,COUNT,,,,,,optionSet
CLINIC-Standards-SE2-Human Resource Management-2.2 Staff Evaluation-New personnel are evaluated as per policy.,,CLINIC-Standards-SE2-Human Resource Management-2.2.3.3,19CLINIC-Standards-SE2-Human Resource Management-2.2.3.3,New personnel are evaluated as per policy.,New personnel are evaluated as per policy.,TRACKER,TEXT,COUNT,,,,,,optionSet
CLINIC-Standards-SE2-Human Resource Management-2.3 Credentialing-Credentials of medical practitioners are evaluated and verified.,,CLINIC-Standards-SE2-Human Resource Management-2.3.1.1,20CLINIC-Standards-SE2-Human Resource Management-2.3.1.1,Credentials of medical practitioners are evaluated and verified.,Credentials of medical practitioners are evaluated and verified.,TRACKER,TEXT,COUNT,,,,,,optionSet
CLINIC-Standards-SE2-Human Resource Management-2.3 Credentialing-Credentials of nurses and other health professionals are evaluated and verified.,,CLINIC-Standards-SE2-Human Resource Management-2.3.1.2,21CLINIC-Standards-SE2-Human Resource Management-2.3.1.2,Credentials of nurses and other health professionals are evaluated and verified.,Credentials of nurses and other health professionals are evaluated and verified.,TRACKER,TEXT,COUNT,,,,,,optionSet
"CLINIC-Standards-SE2-Human Resource Management-2.3 Credentialing-Registration, education, training and experience are documented.",,CLINIC-Standards-SE2-Human Resource Management-2.3.1.3,22CLINIC-Standards-SE2-Human Resource Management-2.3.1.3,"Registration, education, training and experience are documented.","Registration, education, training and experience are documented.",TRACKER,TEXT,COUNT,,,,,,optionSet
CLINIC-Standards-SE2-Human Resource Management-2.3 Credentialing-Annual registration for patient care services is determined.,,CLINIC-Standards-SE2-Human Resource Management-2.3.1.4,23CLINIC-Standards-SE2-Human Resource Management-2.3.1.4,Annual registration for patient care services is determined.,Annual registration for patient care services is determined.,TRACKER,TEXT,COUNT,,,,,,optionSet
CLINIC-Standards-SE2-Human Resource Management-2.4 Orientation and Education-Written programmes exist for orientating and inducting personnel.,,CLINIC-Standards-SE2-Human Resource Management-2.4.1.1,24CLINIC-Standards-SE2-Human Resource Management-2.4.1.1,Written programmes exist for orientating and inducting personnel.,Written programmes exist for orientating and inducting personnel.,TRACKER,TEXT,COUNT,,,,,,optionSet
CLINIC-Standards-SE2-Human Resource Management-2.4 Orientation and Education-Contract workers and volunteers are orientated to the facility and their roles.,,CLINIC-Standards-SE2-Human Resource Management-2.4.1.2,25CLINIC-Standards-SE2-Human Resource Management-2.4.1.2,Contract workers and volunteers are orientated to the facility and their roles.,Contract workers and volunteers are orientated to the facility and their roles.,TRACKER,TEXT,COUNT,,,,,,optionSet
CLINIC-Standards-SE2-Human Resource Management-2.4 In-Service Training-The facility has a coordinated plan for in-service education.,,CLINIC-Standards-SE2-Human Resource Management-2.4.2.1,26CLINIC-Standards-SE2-Human Resource Management-2.4.2.1,The facility has a coordinated plan for in-service education.,The facility has a coordinated plan for in-service education.,TRACKER,TEXT,COUNT,,,,,,optionSet
CLINIC-Standards-SE2-Human Resource Management-2.4 In-Service Training-Training needs are identified using various data sources.,,CLINIC-Standards-SE2-Human Resource Management-2.4.2.2,27CLINIC-Standards-SE2-Human Resource Management-2.4.2.2,Training needs are identified using various data sources.,Training needs are identified using various data sources.,TRACKER,TEXT,COUNT,,,,,,optionSet
CLINIC-Standards-SE2-Human Resource Management-2.4 In-Service Training-All personnel receive ongoing in-service education and training.,,CLINIC-Standards-SE2-Human Resource Management-2.4.2.3,28CLINIC-Standards-SE2-Human Resource Management-2.4.2.3,All personnel receive ongoing in-service education and training.,All personnel receive ongoing in-service education and training.,TRACKER,TEXT,COUNT,,,,,,optionSet
CLINIC-Standards-SE2-Human Resource Management-2.4 In-Service Training-Competencies are assessed before and after training.,,CLINIC-Standards-SE2-Human Resource Management-2.4.2.4,29CLINIC-Standards-SE2-Human Resource Management-2.4.2.4,Competencies are assessed before and after training.,Competencies are assessed before and after training.,TRACKER,TEXT,COUNT,,,,,,optionSet
CLINIC-Standards-SE2-Human Resource Management-2.4 Continuing Education-The facility supports continuing education and maintains records.,,CLINIC-Standards-SE2-Human Resource Management-2.4.3.1,30CLINIC-Standards-SE2-Human Resource Management-2.4.3.1,The facility supports continuing education and maintains records.,The facility supports continuing education and maintains records.,TRACKER,TEXT,COUNT,,,,,,optionSet
CLINIC-Standards-SE2-Human Resource Management-2.4 Continuing Education-A development strategy ensures managers receive required training.,,CLINIC-Standards-SE2-Human Resource Management-2.4.3.2,31CLINIC-Standards-SE2-Human Resource Management-2.4.3.2,A development strategy ensures managers receive required training.,A development strategy ensures managers receive required training.,TRACKER,TEXT,COUNT,,,,,,optionSet
CLINIC-Standards-SE2-Human Resource Management-2.4 Continuing Education-Staff are informed of opportunities for advanced education and research.,,CLINIC-Standards-SE2-Human Resource Management-2.4.3.3,32CLINIC-Standards-SE2-Human Resource Management-2.4.3.3,Staff are informed of opportunities for advanced education and research.,Staff are informed of opportunities for advanced education and research.,TRACKER,TEXT,COUNT,,,,,,optionSet
Patient and Family Rights & Responsibilities and Access--,UID,code,shortName,Description,Form Name,domainType,Value type,Aggregation type,CatCombo,,,,Option set,optionSet
CLINIC-Standards-SE3-Patient and Family Rights & Responsibilities and Access to Care-3.1 Implementation of Patient Rights and Responsibilities-Organisational policy regarding patient and family rights is implemented.,,CLINIC-Standards-SE3-Patient and Family Rights & Responsibilities and Access to Care-3.1.1.1,1CLINIC-Standards-SE3-Patient and Family Rights & Responsibilities and Access to Care-3.1.1.1,Organisational policy regarding patient and family rights is implemented.,Organisational policy regarding patient and family rights is implemented.,TRACKER,TEXT,COUNT,,,,,,optionSet
"CLINIC-Standards-SE3-Patient and Family Rights & Responsibilities and Access to Care-3.1 Implementation of Patient Rights and Responsibilities-Where applicable, relevant charters, laws and regulations are included in organisational policies regarding patient and family rights.",,CLINIC-Standards-SE3-Patient and Family Rights & Responsibilities and Access to Care-3.1.1.2,2CLINIC-Standards-SE3-Patient and Family Rights & Responsibilities and Access to Care-3.1.1.2,"Where applicable, relevant charters, laws and regulations are included in organisational policies regarding patient and family rights.","Where applicable, relevant charters, laws and regulations are included in organisational policies regarding patient and family rights.",TRACKER,TEXT,COUNT,,,,,,optionSet
CLINIC-Standards-SE3-Patient and Family Rights & Responsibilities and Access to Care-3.1 Implementation of Patient Rights and Responsibilities-The personnel are trained on the policies and procedures and their participation in care processes.,,CLINIC-Standards-SE3-Patient and Family Rights & Responsibilities and Access to Care-3.1.1.3,3CLINIC-Standards-SE3-Patient and Family Rights & Responsibilities and Access to Care-3.1.1.3,The personnel are trained on the policies and procedures and their participation in care processes.,The personnel are trained on the policies and procedures and their participation in care processes.,TRACKER,TEXT,COUNT,,,,,,optionSet
"CLINIC-Standards-SE3-Patient and Family Rights & Responsibilities and Access to Care-3.2 Protection of Privacy-The patient's need for privacy is protected during all examinations, procedures and treatments.",,CLINIC-Standards-SE3-Patient and Family Rights & Responsibilities and Access to Care-3.2.1.1,4CLINIC-Standards-SE3-Patient and Family Rights & Responsibilities and Access to Care-3.2.1.1,"The patient's need for privacy is protected during all examinations, procedures and treatments.","The patient's need for privacy is protected during all examinations, procedures and treatments.",TRACKER,TEXT,COUNT,,,,,,optionSet
CLINIC-Standards-SE3-Patient and Family Rights & Responsibilities and Access to Care-3.2 Protection of Privacy-The patient's need for privacy is protected when providing personal information.,,CLINIC-Standards-SE3-Patient and Family Rights & Responsibilities and Access to Care-3.2.1.2,5CLINIC-Standards-SE3-Patient and Family Rights & Responsibilities and Access to Care-3.2.1.2,The patient's need for privacy is protected when providing personal information.,The patient's need for privacy is protected when providing personal information.,TRACKER,TEXT,COUNT,,,,,,optionSet
CLINIC-Standards-SE3-Patient and Family Rights & Responsibilities and Access to Care-3.2 Protection of Privacy-The patient's right to privacy is protected for all forms of counselling.,,CLINIC-Standards-SE3-Patient and Family Rights & Responsibilities and Access to Care-3.2.1.3,6CLINIC-Standards-SE3-Patient and Family Rights & Responsibilities and Access to Care-3.2.1.3,The patient's right to privacy is protected for all forms of counselling.,The patient's right to privacy is protected for all forms of counselling.,TRACKER,TEXT,COUNT,,,,,,optionSet
CLINIC-Standards-SE3-Patient and Family Rights & Responsibilities and Access to Care-3.2 Protection of Privacy-Policies and procedures to prevent the loss or misuse of patient information are implemented.,,CLINIC-Standards-SE3-Patient and Family Rights & Responsibilities and Access to Care-3.2.1.4,7CLINIC-Standards-SE3-Patient and Family Rights & Responsibilities and Access to Care-3.2.1.4,Policies and procedures to prevent the loss or misuse of patient information are implemented.,Policies and procedures to prevent the loss or misuse of patient information are implemented.,TRACKER,TEXT,COUNT,,,,,,optionSet
CLINIC-Standards-SE3-Patient and Family Rights & Responsibilities and Access to Care-3.2 Protection of Privacy-The policies include the right to confidentiality of patient records.,,CLINIC-Standards-SE3-Patient and Family Rights & Responsibilities and Access to Care-3.2.1.5,8CLINIC-Standards-SE3-Patient and Family Rights & Responsibilities and Access to Care-3.2.1.5,The policies include the right to confidentiality of patient records.,The policies include the right to confidentiality of patient records.,TRACKER,TEXT,COUNT,,,,,,optionSet
